Name,Path,Type,View Link,Download Link
JANVI REVIEWS,JANVI REVIEWS,Folder,https://drive.google.com/drive/folders/1txkzoY6wqOS0ya6rmRJ0IrhSClw83men,
model reference image,model reference image,Folder,https://drive.google.com/drive/folders/19d2ngnUcgU4qLcdl5zERZFBUh_echYDi,
Website banner images,Website banner images,Folder,https://drive.google.com/drive/folders/1fTIzFSJqEUVHeGc8wunxwJ2lrqs7XCJh,
dynamic_bg_reference,dynamic_bg_reference,Folder,https://drive.google.com/drive/folders/1mDRg1WXwR9BU-zfMlR55KaJGLcRs2T2I,
Backgrounds,Backgrounds,Folder,https://drive.google.com/drive/folders/1huHy2NuNoygND5tTcrs9x_e9pTHVzrnD,
SUNSET OMBRE BLOOM,SUNSET OMBRE BLOOM,Folder,https://drive.google.com/drive/folders/1SjZqu_XenjZ1gmG3LGUlNyZgQXSgZQfU,
Raw image Testing,Raw image Testing,Folder,https://drive.google.com/drive/folders/1P2oXQn2RC0XRlSkbV-5OEwMmfXajdvt_,
Demo,Demo,Folder,https://drive.google.com/drive/folders/1XLHolIv6bbuwTO-zqICG4jsPyyhORb5e,
MODEL REELS,MODEL REELS,Folder,https://drive.google.com/drive/folders/1jMju2Ur-1HcaW7fEDG01FK_tDcT4onij,
About Janvi Aika,About Janvi Aika,Folder,https://drive.google.com/drive/folders/1XeINr-z8lyMRm2aN0EIsxaiC9rlA6_lP,
GENERATED IMAGES FOR SHOPIFY,GENERATED IMAGES FOR SHOPIFY,Folder,https://drive.google.com/drive/folders/1NqJSdan4kgAlpunfVTYO1CR5eE0CUqNW,
MANNEQUIN IMAGES,MANNEQUIN IMAGES,Folder,https://drive.google.com/drive/folders/1mfyLRNohkKRaAIFGE5rYysGipdXX7GdL,
Un edided chudidar ,Un edided chudidar ,Folder,https://drive.google.com/drive/folders/1_MX6hfn2hhy19dJm0OzCrvtZzWP069aD,
Anarkalis ,Anarkalis ,Folder,https://drive.google.com/drive/folders/1Hna7NleBvWGwEf8f0cwRLyHY3mLS3riB,
un edited anarkali pics,un edited anarkali pics,Folder,https://drive.google.com/drive/folders/15oIE3ERHVkHdJIMrUZsCj8cPOawk0E5A,
Ad flims,Ad flims,Folder,https://drive.google.com/drive/folders/1pVAKz_Fo4l0QPD-pD_H15EYmZ_TuP5R4,
Brand Assets -20260120T053117Z-3-001,Brand Assets -20260120T053117Z-3-001,Folder,https://drive.google.com/drive/folders/1nlk86g7xSgu0E14Ig2plDg6Mx9ZdvV2G,
Product photos,Product photos,Folder,https://drive.google.com/drive/folders/14seIjM3MPCWxlMmkYliGV7PY4gmft3RN,
